Number	Gene	ORF	Known homomer	References
408	YDR467C	YDR467C		
409	YEF3	YLR249W		
410	YEL077C	YEL077C		
411	YEL1	YBL060W		
412	YGL239C	YGL239C		
413	YGR011W	YGR011W		
414	YGR139W	YGR139W		
415	YGR283C	YGR283C	_	Krogan NJ, et al. (2004)
416	YHB1	YGR234W	_	Babu M, et al. (2012)
417	YHM2	YMR241W		
418	YLH47	YPR125W		
419	YLL020C	YLL020C		
420	YLR230W	YLR230W		
421	YLR294C	YLR294C		
422	YME2	YMR302C		
423	YML018C	YML018C		
424	YML084W	YML084W		
425	YMR144W	YMR144W		
426	YMR153C-A	YMR153C-A		
427	YNL063W	YNL063W		
428	YNL144C	YNL144C		
429	YNL190W	YNL190W		
430	YOL134C	YOL134C		
431	YOP1	YPR028W	_	Shibata Y, et al. (2008)
432	YOR022C	YOR022C		
433	YOR248W	YOR248W		
434	YOR296W	YOR296W		
435	YPL080C	YPL080C		
436	YPR039W	YPR039W		
437	YPR098C	YPR098C		
438	YRO2	YBR054W	_	Miller JP, et al. (2005)
439	YSP2	YDR326C		
440	YTA7	YGR270W	_	Lambert JP, et al. (2009)
441	ZAP1	YJL056C		
442	ZRC1	YMR243C		
443	ZUO1	YGR285C		
444	ZWF1	YNL241C	_	Ravera S, et al. (2010)
